,Title,State,Created_at,Updated_at,Closed_at,Author,Details,Comments,Id
905,Result value of timers is unused,open,2013-08-22T17:39:59Z,2016-03-14T23:38:27Z,,MEMBER,"timer.c::do_timer

```
        if( timer_data[tid].func ) {
            if( diff < -1000 )
                // timer was delayed for more than 1 second, use current tick instead
                timer_data[tid].func(tid, tick, timer_data[tid].id, timer_data[tid].data);
            else
                timer_data[tid].func(tid, timer_data[tid].tick, timer_data[tid].id, timer_data[tid].data);
        }
```

timer.h

```
typedef int (*TimerFunc)(int tid, unsigned int tick, int id, intptr_t data);
```
",,7551429
906,Script Function Override Fail,open,2013-08-07T17:48:42Z,2016-03-14T23:38:08Z,,MEMBER,"Code has been the same since eAthena and as I understand this problem is this old, lies at how npc functions try to override if got 2 with same name

```
npc_parse_function
```

```
    func_db = script_get_userfunc_db();
    oldscript = (struct script_code*)strdb_put(func_db, w3, script);
    if( oldscript != NULL )
    {
        ShowInfo(""npc_parse_function: Overwriting user function [%s] (%s:%d)\n"", w3, filepath, strline(buffer,start-buffer));
        script_free_vars(&oldscript->script_vars);
        aFree(oldscript->script_buf);
        aFree(oldscript);
    }
```

ours looks sightly different but the design is the same and remains broken

```
    func_db = script->userfunc_db;
    if (func_db->put(func_db, DB->str2key(w3), DB->ptr2data(scriptroot), &old_data))
    {
        struct script_code *oldscript = (struct script_code*)DB->data2ptr(&old_data);
        ShowInfo(""npc_parse_function: Overwriting user function [%s] (%s:%d)\n"", w3, filepath, strline(buffer,start-buffer));
        script->free_vars(oldscript->script_vars);
        aFree(oldscript->script_buf);
        aFree(oldscript);
    }
```

Pretty much if you have a function sleeping/timer'd while this is performed (e.g. by doing @loadnpc on a file already loaded that has a function) the previous pointer stuff screw up and ends up crashing in run_script_main ( claims st->script->script_buf is empty aka 0xfdfdfdfdfd'd by the memory manager ).
","Example (assuming both are in the same file):

```
OnInit:
while(1) callfunc(""my_broken_func"");
```

```
my_broken_func (somewhere) {
do_anything;
sleep 1000;
return;
}
```

this causes the data to this function be persistently on memory since it never goes away (since the script sleeps itself to not end it always remains in a timer), if this is mistakenly loaded again (as I said by @loadnpc), the overwrite happens and this timer ends up with a broken pointer that eventually crashes the server (that in the best scenario where it doesnt corrupt other memory depending on what it tries to run, in the case server isn't run with debug mode the memory manager doesnt 0xfdfdfdfd the memory which can then point to garbage which then can do a huge amount of things if by chance the values it tries to read are within the boundaries expected in get_com)
",7551429
907,Storing user passwords,open,2013-07-27T07:05:15Z,2019-01-09T18:17:14Z,,MEMBER,"Currently in Hercules there are 2 ways to store user passwords in database:
- unsalted one-round MD5 hash (bad)
- plain text (arguably unacceptable)

I've done little research on storing passwords in safe manner these days, and it looks like `bcrypt` is generally recommended and widespread solution. It also has ready to use implementations in many languages, most importantly PHP and C.

I think we should provide a way to store passwords in a way that is considered safe. MD5 maybe was good enough several years ago, but with increasing computing power it no longer is.
","How about this?
https://github.com/trusch/libbcrypt

I've added a pull request that adds support on windows.

Client would have to send the password over in plaintext, unless someone can mod it to bcrypt on that end. Unless you want to bcrypt a md5 hash but that seems silly...

Lib usage:
```cpp
std::string hash = BCrypt::generateHash(password, 10);
BCrypt::validatePassword(password, hash);
```

Adding bcrypt on fluxcp should be simple enough.

```php
password_hash ( $password, PASSWORD_BCRYPT, [ 'cost' => 10 ] );
```

Notes on php:
- Maximum password length of 72 characters.
- PHP Defaults to BCRYPT from PHP 5.5.0 onwards, but could change in future versions so being explicit.
- Output always a 60 character string or FALSE on failure.
- You can store this as bytes and save some space but prefer simplicity.

",7551429
908,Battle & skill code cleanup,open,2013-07-26T08:15:10Z,2015-09-25T01:59:17Z,,MEMBER,"This is something I've been thinking about for long time now.
- proper separation of battle and skill code into their own modules (eg `int battle_calc_skillratio` is placed in `battle.c` now, instead of `skill.c`)
- splitting code into smaller functions responsible of performing exactly one task (ideally) for improved readability and reusability of code
- moving as many hardcoded numbers and flags into `skill_db*.txt` files (eg already mentioned skill damage ratios, certain skills that bypass X, etc)
- removing awful `switch (skill_id)` in favor of expanding internal skill database representation with function pointers to perform extra actions unique for given skill id (eg. overriding default skill damage ratio calculation, adding extra conditions or extra effects that would be too complex to represent in plain txt db files); in future allow overriding these functions by plugins for easy skill modifications

Opinions, suggestions?
","Okay, sounds good then.  I was worried about excessive amounts of symbols requiring to be defined, in case you wanted to make them assignable (i.e. by function name) directly from the skill_db.
",7551429
909,missing official map flags for maptypeproperty2,open,2013-07-24T16:17:21Z,2015-06-07T14:54:38Z,,MEMBER,"clif.c

```
void clif_maptypeproperty2(struct block_list *bl,enum send_target t) {
    struct packet_maptypeproperty2 p;

    p.PacketType = maptypeproperty2Type;
    p.type = 0x28;
    p.flag.usecart = 1;
    p.flag.party = 1;
    p.flag.guild = 1;
    p.flag.siege = map_flag_gvg2(bl->m) ? 1: 0;
    p.flag.mineffect = 1;
    p.flag.nolockon = 0;
    p.flag.countpk = map[bl->m].flag.pvp ? 1 : 0;
    p.flag.nopartyformation = 0;
    p.flag.noitemconsumption = 0;
    p.flag.summonstarmiracle = 0;
    p.flag.bg = map[bl->m].flag.battleground ? 1 : 0;

    clif->send(&p,sizeof(p),bl,t);
}
```

as its visible the ones with 0 are missing mapflags, some with a straight 1 could be made into mapflags too (e.g. usecart)
","Here's what I figured out so far:

```
unsigned int party             : 1; // Show attack cursor on non-party members (PvP)
unsigned int guild             : 1; // Show attack cursor on non-guild members (GvG)
unsigned int siege             : 1; // Show emblem over characters' heads and attack cursor on enemy guilds (WoE)
unsigned int mineffect         : 1; // Automatically enable /mineffect
unsigned int nolockon          : 1; // TODO: What does this do? (shows attack cursor on non-party members)
unsigned int countpk           : 1; // TODO: What does this do?
unsigned int nopartyformation  : 1; // Prevent party creation
unsigned int bg                : 1; // TODO: What does this do?
unsigned int noitemconsumption : 1; // TODO: What does this do? (shows a ""Nothing found in the selected map"" message)
unsigned int usecart           : 1; // Allow opening cart inventory
unsigned int summonstarmiracle : 1; // TODO: What does this do?
```

Ideas?
",7551429
910,Battlegrounds Queue,open,2013-07-24T15:46:37Z,2016-03-22T20:40:06Z,,MEMBER,"- [x] Enable party/guild support (existent but disabled) and add the splitting algorithm, as Shikazu drafted ( staff link; http://hercules.ws/board/topic/1192-bg-queue-splitting-teams/ )
- [ ] in battlegrounds.c `bg_canqueue` gdelay_var and arena->delay_var checks are checking against time() instead of time()+proper_setting
- [x] `script->hq[arena->queue_id].items` is apparently not being cleared (after one bg takes place users get their position as if the previous queue was still in place), even though it is thrown in queue delete (might be a queue problem instead of the bg)
- [x] the feature should save your position when you're warped into the bg and warp you back when it ends ( no support for this is currently present )
- [x] when you're in a queue the client has a window displaying your position and a 'leave' button (beside the windows close button), this button is currently doing nothing while it should get you out of the queue.

( taken from http://hercules.ws/board/topic/1302-bg-queue-debug/ )
","The KvM scripts sended in last post have customized the reward giving an item instead of giving kvm_points, here it is with the kvm_points reward corrected:

[kvm01.txt](https://github.com/HerculesWS/Hercules/files/184941/kvm01.txt)
[kvm02.txt](https://github.com/HerculesWS/Hercules/files/184942/kvm02.txt)
[kvm03.txt](https://github.com/HerculesWS/Hercules/files/184943/kvm03.txt)

However, @dastgir , this scripts (flavius, tierra and kvm) has been partially customized from the standard scripts, we will send a non-customized version soon.
",7551429
911,ers.c documentation is off,open,2013-07-24T14:59:26Z,2016-03-14T23:35:52Z,,MEMBER,"GreenBox has remade the system from the ground up a couple months ago but the description in the top of the file is still the same as previous and some are off (I'm not sure about the others), for example:

```
 *  - A  manager will only auto-destroy when all of its instances are        *
 *    destroyed so memory will usually only be recovered near the end.       *
```

This is no longer true
",,7551429
912,Ability to import/override libconfig files,open,2013-07-21T07:26:27Z,2016-03-14T23:34:53Z,,MEMBER,"e.g. conf/atcommand.conf
",,7551429
913,"Fix #309, avoid catastrophic backtracking in searchcommands.internals",open,2020-03-03T15:29:53Z,2020-03-03T15:29:53Z,,NONE,"Adding `\\` to `[^""]` avoids overlap with `\\.` in the branch. Without this the regex can catastrophically backtrack between the two branches.",,1504670
914,Regular expression in CommandLineParser exhibits catastrophic backtracking,open,2020-02-25T15:04:42Z,2020-03-02T17:50:08Z,,NONE,"Hi there! I've been working on a new Python static analysis tool called [Dlint](https://github.com/dlint-py/dlint). Most recently I've been working on a rule that searches for regular expression denial-of-service: [DUO138](https://github.com/dlint-py/dlint/blob/master/docs/linters/DUO138.md). When running this rule against your codebase I found the following violations:

```
$ python -m flake8 --select=DUO138 splunklib/
splunklib/searchcommands/internals.py:217:21: DUO138 catastrophic ""re"" usage - denial-of-service possible
splunklib/searchcommands/internals.py:235:22: DUO138 catastrophic ""re"" usage - denial-of-service possible
splunklib/searchcommands/internals.py:237:19: DUO138 catastrophic ""re"" usage - denial-of-service possible
splunklib/searchcommands/search_command.py:834:22: DUO138 catastrophic ""re"" usage - denial-of-service possible
```

After further investigation, it appears the violation in `internals.py` at line 235 is a true positive and the rest are false positives. If we dig in further:

```python
class CommandLineParser(object):
    ...
    _fieldnames_re = re.compile(r""""""(""(?:\\.|""""|[^""])+""|(?:\\.|[^\s""])+)"""""")
```

The violation occurs due to `(?:\\.|""""|[^""])+`. This is due to [mutually inclusive alternation](https://www.regular-expressions.info/redos.html) within a quantifier. Since `\\.` and `[^""]` have character overlap. We can confirm the bug with a specially crafted string and the following code:

```python
from splunklib.searchcommands import internals
internals.CommandLineParser._fieldnames_re.search('""' + r'\\.' * 64 + ""'"")
...Spins...
```

To fix the issue we should avoid the character overlap between `\\.` and `[^""]`. One way to accomplish this is with the following expression:

```python
_fieldnames_re = re.compile(r""""""(""(?:\\.|""""|[^""\\])+""|(?:\\.|[^\s""])+)"""""")
```

Note that the other false positives found contain similar expressions, and despite not being vulnerable to this issue, it may be worth updating them as well. This will avoid them becoming vulnerable in the future.

If you'd like to learn more about ReDoS and catastrophic backtracking I recommend checking out [this blog post](https://blog.r2c.dev/posts/finding-python-redos-bugs-at-scale-using-dlint-and-r2c/). I hope this helps, let me know if you have any questions!","Thanks for the bug report @mschwager, this is very helpful information. We are unable to implement these changes at the moment but we are always open to a pull request",1504670
915,fix  AttributeError: 'module' object has no attribute '_create_unverified_context',open,2020-02-25T02:39:09Z,2020-02-25T02:39:09Z,,NONE,v1.6.12 contains PR #283 which breaks on legacy python without PEP 476 support,,1504670
916,TextIOWrapper regression bug in 1.6.12: 'file' object has no attribute 'readable',open,2020-02-24T22:10:59Z,2020-03-09T19:20:59Z,,CONTRIBUTOR,"I think I stumbled onto a bug in 1.6.12 that impacts at least 7.1.4 and 7.3.0.  It seems to be related to python 2 vs 3 and athe TextIOWrapper around the output stream.    The initial registration seems to be fine (`--scheme`), but whenever the script is run to collect data that's when it fails.

When I downgrade splunk-sdk version to 1.6.11 my modular input (TA) works fine again.

Here's the traceback from the 1.6.12 version from a local 7.3 instance running on a Mac:
```
Traceback (most recent call last):
  File ""/Users/lalleman/splunk73/splunk/etc/apps/TA-oam_dms/bin/OAM_DMS.py"", line 422, in <module>
    sys.exit(OamDmsModularInput().run(sys.argv))
  File ""/Users/lalleman/splunk73/splunk/etc/apps/TA-oam_dms/bin/../lib/splunklib/modularinput/script.py"", line 56, in run
    return self.run_script(args, EventWriter(), sys.stdin)
  File ""/Users/lalleman/splunk73/splunk/etc/apps/TA-oam_dms/bin/../lib/splunklib/modularinput/event_writer.py"", line 49, in __init__
    self._out = TextIOWrapper(output)
AttributeError: 'file' object has no attribute 'readable'
```","Hi @lowell80, this seems like an oversight in our testing. We're open to pull requests, however we do not have the bandwidth to address this issue at the moment. Thank you for your patience and understanding",1504670
917,Update README.md,open,2020-02-14T17:50:02Z,2020-02-14T20:02:18Z,,CONTRIBUTOR,"Remove reference to zip, update to 8.0, typo.","Also note that the existing published readme (https://github.com/splunk/splunk-sdk-python/blob/master/README.md) has ""build failing"" and ""docs failing"" badges up top; should be fixed",1504670
918,Ensure event XML is a string before writing.,open,2020-02-04T19:37:53Z,2020-02-04T19:43:22Z,,NONE,"Fixes following issue.  See stacktrace.

Traceback (most recent call last):
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/ta_1password/aob_py3/modinput_wrapper/base_modinput.py"", line 128, in stream_events
    self.collect_events(ew)
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/onepassword_event_logs.py"", line 76, in collect_events
    input_module.collect_events(self, ew)
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/input_module_onepassword_event_logs.py"", line 216, in collect_events
    event_stream.stream_events(CACHE_FOLDER, stanza_name)
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/input_module_onepassword_event_logs.py"", line 175, in stream_events
    self._process_event(event, input_name)
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/input_module_onepassword_event_logs.py"", line 150, in _process_event
    SplunkWriter.write_event(splunk_event)
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/onepassword_lib/splunk_writer.py"", line 10, in write_event
    SplunkWriter.writer.write_event(event)
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/ta_1password/aob_py3/solnlib/packages/splunklib/modularinput/event_writer.py"", line 57, in write_event
    event.write_to(self._out)
  File ""/Applications/Splunk/etc/apps/TA-1password/bin/ta_1password/aob_py3/splunklib/modularinput/event.py"", line 107, in write_to
    stream.write(ET.tostring(event))
TypeError: write() argument must be str, not bytes",,1504670
919,Fix chunk synchronization,open,2020-01-21T17:17:43Z,2020-01-22T20:58:31Z,,NONE,"The external search command should be sending one chunk response for every chunk received, but extra flushing in the case of large chunks was producing multiple responses per request.

This changes partial flush() to be a noop for v2, and is more explicit about matching up read_chunk and write_chunk calls.

Fixes #150 ",,1504670
920,Modular Input Decorators,open,2020-01-14T19:45:44Z,2020-01-14T19:45:44Z,,NONE,"In an attempt to have similar design patterns to how custom search commands are created, and also to make the definition of the scheme, member access to configuration values, automatic casting of configuration types, and convenient .spec file generation, I implemented a proof of concept for decorators for the Script class.
It mimics much of how the search command decorators are implemented, with changes where necessary.
The functionality isn't fully complete, and is lacking validation of decorator parameters, but before spending a lot more time polishing and making it complete I wanted to get feedback regarding the willingness of the SDK team to merge such a PR, and also to get early feedback regarding which pieces the team would want implemented differently.

The summary of what this PR accomplishes is shown in this code snippet:

```from __future__ import absolute_import
from splunklib.modularinput import Configuration, Script, Argument
import sys

@Configuration(use_single_instance=True)
class DevSDKScript(Script):
    a_string_argument = Argument(data_type=Argument.data_type_string, description=""A String Argument"")
    a_boolean_argument = Argument(data_type=Argument.data_type_boolean, description=""A Boolean Argument"")
    a_number_argument = Argument(data_type=Argument.data_type_number, description=""A Number Argument"")

    # for inputs that need to perform preliminary actions (preparation) with knowledge of the entire set of inputs
    def preflight(self, input_items, ew):
        for input_name, input_item in input_items:
            ew.log(""INFO"", ""{0} preflight"".format(input_name))

    # process_input is called once per configured input to be more convenient, not requiring the developer
    #  to implement the interation themselves
    # stream_events is still overrideable if the developer prefers the existing method
    def process_input(self, input_name, input_item, ew):
        ew.log(""INFO"", ""{0} stream_event"".format(input_name))
        ew.log(""INFO"", "" a_string_argument: {0}"".format(input_item.a_string_argument))
        ew.log(""INFO"", "" a_boolean_argument: {0}"".format(input_item.a_boolean_argument))
        ew.log(""INFO"", "" a_number_argument: {0}"".format(input_item.a_number_argument))

    # for inputs that need to perform post actions (cleanup) with knowledge of the entire set of inputs
    def postflight(self, input_items, ew):
        for input_name, input_item in input_items:
            ew.log(""INFO"", ""{0} postflight"".format(input_name))

if __name__ == ""__main__"":
    sys.exit(DevSDKScript().run(sys.argv))",,1504670
921,README includes deprecated support process,open,2019-12-11T20:35:20Z,2019-12-11T20:35:20Z,,MEMBER,"See https://github.com/splunk/splunk-sdk-python/blame/master/README.md#L289:

The email address ""support@splunk.com"" can no longer be used to open support cases. Instead, customers should login to the Support Portal using their Splunk.com account, and open a case that way. See: https://www.splunk.com/en_us/support-and-services.html and https://login.splunk.com/page/sso_redirect?type=portal",,1504670
922,Basic metadata search returns the same results over and over,open,2019-12-04T21:20:30Z,2019-12-04T21:21:57Z,,NONE,"Project version: 1.6.11
Platform: CentOS 
Framework: Python 2.7.4
Splunk: Splunk Cloud (7.2.9)

Problem:

I'm getting multiple iterations of results for each search I make. I've tried this with a very basic search:

```
| metadata type=sourcetypes index=*
| table sourcetype, type, totalCount
```

For the time range of the past 30 minutes. In Splunk Cloud via the GUI, this gives me results in the hundreds (ranges between ~200 and ~500 so far). When I run the script to just print out each row in results:

1. I get the same results repeated over and over and over.
2. At some point it dies out:

```
xml.etree.ElementTree.ParseError: mismatched tag: line 6706, column 2
```

What am I missing?","This happens on both CentOS and Python, in both Python 2.7 and Python 3.6.

The sample code, once one changes it to .py:
[example.txt](https://github.com/splunk/splunk-sdk-python/files/3923973/example.txt)
",1504670
923,Send additional headers with Delete Requests.,open,2019-12-02T00:10:04Z,2020-01-26T12:34:24Z,,NONE,"Send additional headers with a delete request. Currently only GET, POST and REQUEST allow this.",,1504670
924,EventWriter is writing bytes on stdout which is not supported in pyth…,open,2019-11-26T13:57:05Z,2019-12-13T17:33:10Z,,NONE,"…on3 #274

Resolved bug #274 for event_writer.py and event.py for modular input ",Hi @chinmay2197 - thanks for the PR! Can you please fill out the contribution agreement located here: https://www.splunk.com/en_us/form/contributions.html before we proceed? ,1504670
925,Maximum recursion depth exceeded,open,2019-11-26T07:10:21Z,2019-12-02T21:53:03Z,,NONE,"Hi,

I created a simple splunk app to test splunk SDK, it works but I get an error when there are lots of events (~20000): 
> `RuntimeError: maximum recursion depth exceeded while calling a Python object`

I have already checked the python recursionlimit (= 1000 by default)

Here my code:

```python
@Configuration()
class test(ReportingCommand):

    """"""  TODO

    ## Requirements:
		TODO
    ## Description:
        TODO

    ## Syntax:
        TODO

    ## Example:
        TODO


    """"""

    @Configuration()
    def map(self, events):
        return events

    def reduce(self, events):
        events_list = list(events)
        event={}
        for evt in event_list:
            event[""test""]=evt
            yield event

dispatch(test, sys.argv, sys.stdin, sys.stdout, __name__)
```

Here the error:
```11-26-2019 07:49:39.104 INFO  ChunkedExternProcessor - Running process: /opt/splunk/bin/python2.7 /opt/splunk/etc/apps/test/bin/test.py
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr: Traceback (most recent call last):
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:   File ""/opt/splunk/etc/apps/test/bin/test.py"", line 104, in <module>
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:     class test(ReportingCommand):
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:   File ""/opt/splunk/etc/apps/test/bin/splunklib/searchcommands/decorators.py"", line 85, in __call__
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:     o.ConfigurationSettings.fix_up(o)
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:   File ""/opt/splunk/etc/apps/test/bin/splunklib/searchcommands/reporting_command.py"", line 274, in fix_up
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:     ConfigurationSetting.fix_up(f.ConfigurationSettings, settings)
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:   File ""/opt/splunk/etc/apps/test/bin/splunklib/searchcommands/decorators.py"", line 159, in fix_up
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:     setting = setting.getter(fget(backing_field_name, value))
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:   File ""/opt/splunk/etc/apps/test/bin/splunklib/searchcommands/decorators.py"", line 127, in getter
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:     return self._copy_extra_attributes(property.getter(self, function))
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:   File ""/opt/splunk/etc/apps/test/bin/splunklib/searchcommands/decorators.py"", line 115, in __init__
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr:     property.__init__(self, fget=fget, fset=fset, fdel=fdel, doc=doc)
11-26-2019 07:49:39.192 ERROR ChunkedExternProcessor - stderr: RuntimeError: maximum recursion depth exceeded while calling a Python object
11-26-2019 07:49:39.198 ERROR ChunkedExternProcessor - EOF while attempting to read transport header
11-26-2019 07:49:39.198 ERROR ChunkedExternProcessor - Error in 'test' command: External search command exited unexpectedly with non-zero error code 1.
```
The error seems to come from splunklib.

Thanks

",,1504670
926,Add optional retries to connection attempts,open,2019-11-19T22:26:17Z,2020-03-25T17:35:21Z,,CONTRIBUTOR,"I have a long running process that connects to Splunk and executes and manages multiple jobs over (potentially) hours. Every now and then I'll get a `Connection reset by peer` error that blows everything up. This should allow me to build my Splunk connection object with a little retry logic built into the sdk.

Traceback I'm getting for reference:
```python
Traceback (most recent call last):
  File ""/opt/myCode/myCode.py"", line 2130, in <module>
    main()
  File ""/opt/myCode/myCode.py"", line 1308, in main
    config_data['fields']['matchFields'])
  File ""/opt/myCode/myCode.py"", line 839, in rebuild_lookups_from_database
    while not all([z.is_done() for z in jobs]):
  File ""/usr/lib/python2.7/site-packages/splunklib/client.py"", line 2703, in is_done
    if not self.is_ready():
  File ""/usr/lib/python2.7/site-packages/splunklib/client.py"", line 2715, in is_ready
    response = self.get()
  File ""/usr/lib/python2.7/site-packages/splunklib/client.py"", line 1009, in get
    return super(Entity, self).get(path_segment, owner=owner, app=app, sharing=sharing, **query)
  File ""/usr/lib/python2.7/site-packages/splunklib/client.py"", line 766, in get
    **query)
  File ""/usr/lib/python2.7/site-packages/splunklib/binding.py"", line 290, in wrapper
    return request_fun(self, *args, **kwargs)
  File ""/usr/lib/python2.7/site-packages/splunklib/binding.py"", line 71, in new_f
    val = f(*args, **kwargs)
  File ""/usr/lib/python2.7/site-packages/splunklib/binding.py"", line 680, in get
    response = self.http.get(path, all_headers, **query)
  File ""/usr/lib/python2.7/site-packages/splunklib/binding.py"", line 1184, in get
    return self.request(url, { 'method': ""GET"", 'headers': headers })
  File ""/usr/lib/python2.7/site-packages/splunklib/binding.py"", line 1242, in request
    response = self.handler(url, message, **kwargs)
  File ""/usr/lib/python2.7/site-packages/splunklib/binding.py"", line 1386, in request
    response = connection.getresponse()
  File ""/usr/lib64/python2.7/httplib.py"", line 1113, in getresponse
    response.begin()
  File ""/usr/lib64/python2.7/httplib.py"", line 444, in begin
    version, status, reason = self._read_status()
  File ""/usr/lib64/python2.7/httplib.py"", line 400, in _read_status
    line = self.fp.readline(_MAXLINE + 1)
  File ""/usr/lib64/python2.7/socket.py"", line 476, in readline
    data = self._sock.recv(self._rbufsize)
  File ""/usr/lib64/python2.7/ssl.py"", line 757, in recv
    return self.read(buflen)
  File ""/usr/lib64/python2.7/ssl.py"", line 651, in read
    v = self._sslobj.read(len or 1024)
error: [Errno 104] Connection reset by peer```","Hi @mew1033, we unfortunately have not had a chance to look at this PR due to resource constraints. I will personally see if we can get this merged in sooner rather than later. Thank you for your patience and understanding.",1504670
927,WIP: add storage passwords get(),open,2019-11-12T23:05:14Z,2019-11-12T23:05:14Z,,MEMBER,,,1504670
928,Remove clear_password assertions for storage/passwords tests,open,2019-11-05T23:16:29Z,2020-02-05T19:41:13Z,,NONE,POST requests to the /storage/passwords endpoint should not return the clear_password back in plaintext. The POST response should mask the clear_password but the Python SDK tests specifically check for the created or updated password. I removed those assertion checks.,"Hey @dgao1029 I think the change that we actually want that will ensure that the clear_password is available as it was before to end-users is to force a state refresh after password creation. Following the Java SDK which you were just investigating this will update our `StoragePassword` model using the GET response.

So if you revert your testing changes and change this line: https://github.com/splunk/splunk-sdk-python/blob/develop/splunklib/client.py#L1847

to
```python
storage_password = StoragePassword(self.service, self._entity_path(state))
```

I believe that will allow users to retrieve the `password.clear_password` as they were before without removing functionality.",1504670
929,StreamingCommand failed when input contains non-ascii character,open,2019-10-25T09:46:37Z,2019-11-05T07:18:18Z,,NONE,"Environment:
- splunk8.0
- splunk sdk 1.6.11
- python 3

When I create StreamingCommand   ""testcommand"" with following code:

```
#!/usr/bin/env python
#-*- coding: utf-8 -*-
import sys
from splunklib.searchcommands import \
    dispatch, StreamingCommand, Configuration, Option, validators
import splunk
@Configuration()   
class TestCommand(StreamingCommand):
    def stream(self, events):   
        for event in events:        
            yield event
dispatch(TestCommand, sys.argv, sys.stdin, sys.stdout, __name__)
```

testcommand will hang when I use following SPL:
sourcetype=XXX| search url = ""http://例子.卷筒纸"" | testcommand

There has follwing error log in splunkd.log:

> 10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: During handling of the above exception, another exception occurred:
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: Traceback (most recent call last):
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: File ""C:\Program Files\Splunk\etc\apps\XXXX\bin\testcommand.py"", line 22, in
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: dispatch(TestCommand, sys.argv, sys.stdin, sys.stdout, name)
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: File ""C:\Program Files\Splunk\etc\apps\XXXX\bin\splunklib\searchcommands\search_command.py"", line 1118, in dispatch
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: command_class().process(argv, input_file, output_file)
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: File ""C:\Program Files\Splunk\etc\apps\XXXX\bin\splunklib\searchcommands\search_command.py"", line 435, in process
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: self._process_protocol_v2(argv, ifile, ofile)
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: File ""C:\Program Files\Splunk\etc\apps\XXXX\bin\splunklib\searchcommands\search_command.py"", line 787, in _process_protocol_v2
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: self.finish()
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: File ""C:\Program Files\Splunk\etc\apps\XXXX\bin\splunklib\searchcommands\search_command.py"", line 393, in finish
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: self._record_writer.flush(finished=True)
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: File ""C:\Program Files\Splunk\etc\apps\XXXX\bin\splunklib\searchcommands\internals.py"", line 775, in flush
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: self._write_chunk(metadata, self._buffer.getvalue())
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: File ""C:\Program Files\Splunk\etc\apps\XXXX\bin\splunklib\searchcommands\internals.py"", line 820, in _write_chunk
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: self._ofile.flush()
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: OSError: [Errno 22] Invalid argument
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: Exception ignored in: <_io.TextIOWrapper name='' mode='w' encoding='utf-8'>
10-25-2019 16:34:42.808 +0800 ERROR ChunkedExternProcessor - stderr: OSError: [Errno 22] Invalid argument
","When I use search command protocol version 1, this issue is not replicate
```
[testcommand]
filename=testcommand.py
enableheader = true
outputheader = true
requires_srinfo = true
stderr_dest = message
supports_getinfo = true
supports_rawargs = true
supports_multivalues = true
```",1504670
930,Implement Circle Builds with tox,open,2019-10-10T19:54:50Z,2019-10-11T12:39:41Z,,MEMBER,"This PR implements CircleCI builds with tox and Splunk 7.2, The current travis builds also implement 7.0 however this version is EOL. A followup enhancement should add 7.1 and 7.3 to the matrix. 

A number of tests are sensitive to timing or make use of client port binding which is not a good practice. Those tests continue to fail with this PR. This is not yet ready to replace travis but can be incremented upon by the community

Project admin will need to enable the circle CI project on the Splunk account",,1504670
